Vendor Name,City,Category,Rating,Cost Estimate
Morgan Brown Services,Bangalore,Event Staffing,3.6,27123
Eric Pineda Group,Bangalore,Lighting,4.2,106924
Robert Gould Co.,Bangalore,Entertainment,4.5,26122
Timothy Turner Co.,Bangalore,Event Staffing,4.2,11646
Susan Acevedo Co.,Bangalore,Event Staffing,5.0,24190
Brian Harris Solutions,Bangalore,Entertainment,3.6,112569
Rodney Coleman Services,Bangalore,Security,4.0,95940
Donna Freeman Solutions,Bangalore,Event Staffing,3.9,76526
Lisa Stanley Solutions,Bangalore,Entertainment,3.6,71556
Michael Hamilton Services,Bangalore,Catering,4.1,126646
Pamela Conner Group,Bangalore,Stage Setup,3.9,57513
Cynthia Willis Co.,Bangalore,Catering,4.0,41176
Sandra Liu Group,Bangalore,Transport,4.0,82611
Laura Good Solutions,Bangalore,Decoration,3.9,115840
Tonya Mayo Solutions,Bangalore,Security,4.1,8608
Sarah Turner Services,Bangalore,Catering,4.6,69896
Brent Sanders Co.,Bangalore,Florist,4.0,27092
David Henson Group,Bangalore,Entertainment,3.7,26646
Timothy Wheeler Group,Bangalore,Audio Visual,4.2,21144
Terry Bowers Co.,Bangalore,Florist,3.6,42282
Robert Frost Co.,Bangalore,Security,3.5,80719
Brandy Morgan Services,Bangalore,Event Staffing,4.2,51284
David Dudley Co.,Bangalore,Catering,4.8,90208
Susan Barry Co.,Bangalore,Audio Visual,3.9,19039
Jasmine Stephens Services,Bangalore,Stage Setup,4.8,148468
Jose Chaney Co.,Bangalore,Photography,4.3,74947
Donna Velasquez Co.,Bangalore,Lighting,4.4,23935
Casey Williams Solutions,Bangalore,Security,3.8,11426
Richard Fischer Services,Bangalore,Entertainment,4.7,82950
Stephanie Zhang Group,Bangalore,Catering,4.9,35892
Tracy Lee MD Group,Bangalore,Security,3.6,103321
Evan Rodriguez Co.,Mumbai,Entertainment,4.0,10369
Kevin Johnson Solutions,Mumbai,Event Staffing,3.7,12338
Shannon Brown Services,Mumbai,Audio Visual,4.9,59691
Catherine Newman Services,Mumbai,Catering,4.3,135182
Rodney Torres Group,Mumbai,Security,4.1,82938
Steven Harrell Solutions,Mumbai,Entertainment,4.6,128169
Sarah Hampton Group,Mumbai,Audio Visual,4.6,145616
Karen Walters Co.,Mumbai,Stage Setup,4.3,79952
Tommy Rodriguez Co.,Mumbai,Catering,4.1,14031
Dawn King Co.,Mumbai,Audio Visual,4.4,97898
Aaron Rojas Group,Mumbai,Catering,3.9,142173
Justin Kennedy Solutions,Mumbai,Catering,4.0,105840
Ashlee Smith Solutions,Mumbai,Florist,4.6,43388
Edward Wolf Group,Mumbai,Lighting,4.4,32337
Cassandra Keller Co.,Mumbai,Entertainment,4.1,67738
Amanda Villarreal Services,Mumbai,Audio Visual,4.2,106272
Mia Nguyen Solutions,Mumbai,Entertainment,4.2,95839
Heidi Graham Services,Mumbai,Lighting,4.5,24111
Diana Peck Co.,Mumbai,Photography,4.5,37541
Dr. Manuel Collins Solutions,Mumbai,Transport,4.5,90525
Adam Carr Co.,Mumbai,Decoration,5.0,121434
Jennifer Oconnor Co.,Mumbai,Decoration,4.1,50821
Colleen Mcdonald Group,Mumbai,Lighting,4.0,124643
Erik Johnson Solutions,Mumbai,Catering,3.7,24304
John Robinson Solutions,Mumbai,Lighting,3.6,69482
Amanda Lopez Co.,Mumbai,Audio Visual,4.5,14222
Susan Anderson Services,Mumbai,Event Staffing,4.6,82922
Trevor Perez Solutions,Mumbai,Decoration,4.9,91689
Daniel Castro Co.,Mumbai,Entertainment,4.7,51343
Tara Hall Group,Mumbai,Decoration,4.5,124710
Beth Bradley Services,Mumbai,Decoration,4.3,102394
George Curry Co.,Mumbai,Security,4.4,10403
Jennifer Wells Group,Mumbai,Entertainment,3.6,113762
Shawn Kelly Solutions,Mumbai,Event Staffing,3.6,35194
Ryan Kelley Solutions,Mumbai,Audio Visual,4.6,56497
William Mitchell Solutions,Mumbai,Event Staffing,3.8,132859
Jenna Hernandez Services,Mumbai,Florist,3.9,31360
Willie Bell Co.,Mumbai,Security,4.7,84868
Chelsea Clark Solutions,Mumbai,Entertainment,4.8,62972
Charles Miller Group,Mumbai,Photography,4.4,68712
Kristin Ward Services,Mumbai,Security,4.9,27339
Evan Myers Group,Mumbai,Catering,4.8,117109
Patrick Gonzalez Services,Mumbai,Event Staffing,4.8,37040
Michael Dunn Solutions,Mumbai,Photography,4.3,49925
Matthew Roth Co.,Mumbai,Photography,4.2,74408
Karen Sims Solutions,Mumbai,Photography,3.8,106032
Joe Leach Group,Mumbai,Transport,4.1,85322
Matthew Holland Group,Mumbai,Event Staffing,4.9,120206
Elizabeth Mathews Services,Mumbai,Event Staffing,3.7,27815
Cynthia Morales Co.,Mumbai,Lighting,4.9,70160
Mark Jackson Jr. Services,Delhi,Catering,4.9,47741
Ronald Meyer Group,Delhi,Lighting,5.0,48668
Alex Malone III Services,Delhi,Florist,4.8,133109
Taylor Carter Group,Delhi,Stage Setup,4.8,41215
Mrs. Natalie Garcia Services,Delhi,Florist,4.1,101778
Andrew Herrera Group,Delhi,Catering,4.1,142837
Reginald Cox Solutions,Delhi,Catering,4.3,106002
Lawrence Stanley Solutions,Delhi,Security,4.7,5337
Carolyn Vasquez Group,Delhi,Entertainment,3.6,41558
Stephanie Booth Solutions,Delhi,Stage Setup,4.3,42398
Chad Alexander Services,Delhi,Event Staffing,3.5,134292
Tracey Ayala Group,Delhi,Event Staffing,4.0,132745
Emily Henry Solutions,Delhi,Audio Visual,4.6,70679
Seth Cruz Group,Delhi,Decoration,4.3,87128
Derek Ball Services,Delhi,Florist,4.6,125659
Robert Ortiz Services,Delhi,Photography,3.8,72759
Teresa Bridges Services,Delhi,Florist,4.9,37855
Donald Robbins Co.,Delhi,Lighting,5.0,24298
Kristin Cooke Co.,Delhi,Audio Visual,4.5,16736
Amanda Thomas Services,Delhi,Photography,4.6,99754
Alejandra Allen Co.,Delhi,Decoration,4.4,37187
Jamie Key Solutions,Delhi,Florist,3.8,103659
Katherine Norton Services,Delhi,Entertainment,3.7,26780
Melvin Mcgrath Services,Delhi,Catering,5.0,15903
Dylan Howe Group,Delhi,Decoration,5.0,117584
Alicia Thomas Group,Delhi,Decoration,3.8,59602
Elizabeth Rodgers Services,Delhi,Event Staffing,3.8,78880
Timothy Crawford Co.,Delhi,Event Staffing,4.9,17440
Cody Green Co.,Delhi,Catering,4.9,38538
Zachary Pham Group,Delhi,Lighting,4.6,30848
Judith Gomez Group,Delhi,Audio Visual,4.6,106175
Wesley Alvarado Services,Delhi,Decoration,4.5,140365
Terrence Chaney Co.,Delhi,Stage Setup,4.4,90169
Thomas Patterson Co.,Delhi,Stage Setup,4.5,111602
Amber Smith Solutions,Delhi,Stage Setup,3.8,86894
Matthew Jones Solutions,Delhi,Stage Setup,4.7,28288
Lisa Graham Services,Delhi,Florist,4.7,113859
William Cox Solutions,Delhi,Decoration,4.3,38322
Zachary Moody Services,Delhi,Transport,4.5,110783
Jessica Humphrey Group,Delhi,Transport,4.1,21661
Jose Vargas Services,Delhi,Catering,4.5,110387
Catherine Tate Co.,Delhi,Photography,4.4,11203
Renee Martin Services,Delhi,Decoration,4.2,81291
Brian Padilla Group,Delhi,Event Staffing,4.0,44862
Shawn Myers Solutions,Delhi,Event Staffing,4.3,70148
Sarah Romero Solutions,Delhi,Florist,3.8,113848
Joyce Green Group,Delhi,Event Staffing,3.6,146157
Stephanie Peterson Solutions,Delhi,Photography,4.5,136962
William Pope Group,Delhi,Stage Setup,4.6,99937
Andrea Douglas Services,Delhi,Security,3.9,56822
